,1,0.5,0.2
551,4-5,4.5-4.9,4.4-4.5
552,3-4,3.0-3.4,3.0-3.1
553,4-5,4.0-4.4,4.2-4.3
554,3-4,3.5-3.9,3.6-3.7
555,4-5,4.0-4.4,4.0-4.1
556,4-5,4.0-4.4,4.2-4.3
557,4-5,4.0-4.4,4.2-4.3
558,4-5,4.5-4.9,4.4-4.5
559,3-4,3.5-3.9,3.6-3.7
560,4-5,4.0-4.4,4.2-4.3
561,3-4,3.0-3.4,3.2-3.3
562,4-5,4.0-4.4,4.2-4.3
563,4-5,4.5-4.9,4.4-4.5
564,4-5,4.0-4.4,4.4-4.5
565,3-4,3.5-3.9,3.6-3.7
566,4-5,4.0-4.4,4.4-4.5
567,4-5,4.5-4.9,4.4-4.5
568,4-5,4.5-4.9,4.6-4.7
569,4-5,4.0-4.4,4.2-4.3
570,4-5,4.5-4.9,4.4-4.5
571,4-5,4.0-4.4,4.4-4.5
572,4-5,4.0-4.4,4.0-4.1
573,4-5,4.0-4.4,4.0-4.1
574,4-5,4.0-4.4,4.2-4.3
575,4-5,4.0-4.4,4.0-4.1
576,4-5,4.0-4.4,4.4-4.5
577,4-5,4.5-4.9,4.4-4.5
578,4-5,4.0-4.4,4.4-4.5
579,4-5,4.0-4.4,4.2-4.3
580,4-5,4.0-4.4,4.2-4.3
581,3-4,3.5-3.9,3.4-3.5
582,4-5,4.5-4.9,4.6-4.7
583,4-5,4.5-4.9,4.4-4.5
584,4-5,4.0-4.4,4.2-4.3
585,4-5,4.0-4.4,4.0-4.1
586,4-5,4.0-4.4,4.0-4.1
587,3-4,3.0-3.4,3.2-3.3
588,3-4,3.5-3.9,3.6-3.7
589,3-4,3.5-3.9,3.8-3.9
590,4-5,4.0-4.4,4.2-4.3
591,4-5,4.0-4.4,4.2-4.3
592,4-5,4.5-4.9,4.4-4.5
593,4-5,4.0-4.4,4.0-4.1
594,3-4,3.5-3.9,3.8-3.9
595,4-5,4.0-4.4,4.4-4.5
596,2-3,2.0-2.4,2.2-2.3
597,4-5,4.0-4.4,4.4-4.5
598,4-5,4.0-4.4,4.2-4.3
599,4-5,4.5-4.9,4.4-4.5
600,4-5,4.5-4.9,4.4-4.5
601,3-4,3.0-3.4,3.2-3.3
602,3-4,3.5-3.9,3.6-3.7
603,4-5,4.0-4.4,4.2-4.3
604,4-5,4.0-4.4,4.2-4.3
605,4-5,4.5-4.9,4.6-4.7
606,4-5,4.0-4.4,4.2-4.3
607,4-5,4.0-4.4,4.4-4.5
608,4-5,4.5-4.9,4.6-4.7
609,4-5,4.0-4.4,4.0-4.1
610,4-5,4.0-4.4,4.4-4.5
611,3-4,3.5-3.9,3.6-3.7
612,4-5,4.5-4.9,4.6-4.7
613,4-5,4.0-4.4,4.2-4.3
614,4-5,4.5-4.9,4.6-4.7
615,4-5,4.0-4.4,4.2-4.3
616,4-5,4.5-4.9,4.6-4.7
617,4-5,4.5-4.9,4.4-4.5
618,4-5,4.5-4.9,4.4-4.5
619,2-3,2.5-2.9,2.8-2.9
620,4-5,4.5-4.9,4.4-4.5
621,3-4,3.5-3.9,3.8-3.9
622,3-4,3.5-3.9,3.8-3.9
623,3-4,3.0-3.4,3.2-3.3
624,4-5,4.5-4.9,4.4-4.5
625,4-5,4.0-4.4,4.0-4.1
626,4-5,4.0-4.4,4.2-4.3
627,4-5,4.0-4.4,4.4-4.5
628,4-5,4.0-4.4,4.0-4.1
629,4-5,4.0-4.4,4.0-4.1
630,4-5,4.0-4.4,4.2-4.3
631,4-5,4.0-4.4,4.0-4.1
632,4-5,4.5-4.9,4.4-4.5
633,4-5,4.0-4.4,4.2-4.3
634,4-5,4.5-4.9,4.6-4.7
