,numerical
7943,3.4
9225,4.5
6100,4.5
8027,4.4
1280,4.4
8518,3.9
5190,4.6
661,4.2
8124,4.4
8098,3.5
2918,4.3
5344,4.2
6998,4.3
1937,4.5
4717,3.7
944,4.2
1118,4.7
3912,4.4
2850,4.4
7836,4.4
1775,4.0
459,4.3
8889,4.4
2339,5.0
4297,4.1
6960,4.5
6279,4.4
2164,3.2
3788,4.6
5502,3.7
3529,4.6
5284,4.3
2854,4.3
4422,4.0
7544,5.0
1934,4.4
6441,3.8
1018,3.6
6946,3.1
6977,4.2
7373,4.5
6814,1.9
535,4.2
781,4.5
1662,4.5
7569,2.8
9286,4.3
4748,4.5
8878,4.3
5790,3.9
5319,4.7
3836,4.4
6204,3.6
2913,4.3
8610,4.9
7250,4.0
6849,3.6
2347,5.0
8122,4.1
8652,3.5
2628,4.3
6052,4.1
3370,4.3
8647,3.4
2307,4.3
4399,3.0
2970,4.5
3744,4.5
4487,4.3
454,4.3
7300,4.4
7195,4.7
9091,4.0
9094,3.9
6486,4.4
1980,4.4
6523,3.3
948,4.6
1818,4.6
5438,4.6
715,4.3
5010,4.6
260,4.3
9153,4.8
1641,4.6
2084,4.5
5567,3.6
5133,4.3
1317,4.5
2200,4.4
5474,4.1
6288,4.3
1271,4.4
6848,4.3
4808,4.4
3049,3.7
3921,3.6
6748,4.4
53,4.9
6301,4.5
1886,4.5
4547,4.4
8433,4.6
4156,4.1
1632,4.4
9098,4.7
1973,4.5
2911,4.1
8757,4.4
2988,4.1
3209,4.6
5280,4.5
5045,4.0
5125,4.4
5666,4.3
3541,4.2
